NAICS  Code,Kind of Business,Jan. 2000,Feb. 2000,Mar. 2000,Apr. 2000,May 2000,Jun. 2000,Jul. 2000,Aug. 2000,Sep. 2000,Oct. 2000,Nov. 2000,Dec. 2000
441.0,Motor vehicle and parts dealers,58773.0,66892.0,75067.0,65986.0,73050.0,73002.0,67260.0,71850.0,65835.0,63805.0,58449.0,56241.0
"4411,4412",Automobile and other motor vehicle dealers,54082.0,62015.0,69456.0,60834.0,67449.0,67296.0,61915.0,66022.0,60378.0,58515.0,53412.0,51397.0
4411.0,Automobile dealers,51413.0,58828.0,64815.0,56524.0,62467.0,62396.0,57942.0,62020.0,56972.0,55319.0,50547.0,48539.0
44111.0,New car dealers,47032.0,53501.0,59381.0,51683.0,57481.0,57235.0,52953.0,56931.0,52112.0,50745.0,46458.0,44611.0
44112,Used car dealers,4381.0,5327.0,5434.0,4841.0,4986.0,5161.0,4989.0,5089.0,4860.0,4574.0,4089.0,3928.0
4413.0,"Automotive parts, acc., and tire stores",4691.0,4877.0,5611.0,5152.0,5601.0,5706.0,5345.0,5828.0,5457.0,5290.0,5037.0,4844.0
"442,443","Furniture, home furn, electronics, and appliance stores",13840.0,14126.0,14999.0,13845.0,14614.0,14439.0,14417.0,15369.0,14546.0,14430.0,16344.0,20623.0
442.0,Furniture and home furnishings stores,6638.0,6989.0,7622.0,7134.0,7635.0,7487.0,7508.0,7974.0,7535.0,7667.0,8346.0,8635.0
4421.0,Furniture stores,3897.0,4072.0,4363.0,4032.0,4256.0,4175.0,4205.0,4340.0,4201.0,4157.0,4485.0,4434.0
4422.0,Home furnishings stores,2741.0,2917.0,3259.0,3102.0,3379.0,3312.0,3303.0,3634.0,3334.0,3510.0,3861.0,4201.0
44221.0,Floor covering stores,1370.0,1451.0,1709.0,1563.0,1719.0,1721.0,1606.0,1802.0,1650.0,1768.0,1710.0,1450.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,7202.0,7137.0,7377.0,6711.0,6979.0,6952.0,6909.0,7395.0,7011.0,6763.0,7998.0,11988.0
443141.0,Household appliance stores,926.0,929.0,1013.0,962.0,1108.0,1119.0,1037.0,1088.0,1031.0,1045.0,1124.0,1248.0
443142.0,Electronics stores,6276.0,6208.0,6364.0,5749.0,5871.0,5833.0,5872.0,6307.0,5980.0,5718.0,6874.0,10740.0
444.0,Building mat. and garden equip. and supplies dealers,15381.0,16170.0,19956.0,20044.0,23003.0,21690.0,19639.0,20171.0,18751.0,19482.0,17816.0,16891.0
4441.0,Building mat. and supplies dealers,13314.0,14047.0,17061.0,16665.0,18953.0,18499.0,17261.0,17919.0,16546.0,17228.0,15650.0,14506.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,1071.0,1033.0,1312.0,1425.0,1593.0,1547.0,1440.0,1429.0,1324.0,1322.0,1303.0,1380.0
445.0,Food and beverage stores,34190.0,33507.0,36459.0,36321.0,37627.0,37469.0,38160.0,37768.0,36768.0,36614.0,37629.0,42252.0
4451.0,Grocery stores,31336.0,30515.0,33216.0,33004.0,34085.0,33880.0,34517.0,34225.0,33324.0,33190.0,33969.0,37254.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1920.0,1976.0,2190.0,2132.0,2357.0,2413.0,2463.0,2422.0,2358.0,2352.0,2549.0,3375.0
446.0,Health and personal care stores,11960.0,12151.0,12957.0,12427.0,13237.0,12813.0,12526.0,13021.0,12598.0,13063.0,13047.0,15434.0
44611.0,Pharmacies and drug stores,10071.0,10132.0,10818.0,10458.0,11110.0,10680.0,10520.0,10945.0,10587.0,11085.0,11105.0,13346.0
447.0,Gasoline stations,17693.0,18294.0,20819.0,19768.0,21214.0,22242.0,22264.0,22138.0,21668.0,21712.0,20898.0,21106.0
448.0,Clothing and clothing access. stores,9447.0,11170.0,12841.0,13124.0,13735.0,12953.0,12500.0,14610.0,13375.0,13369.0,15675.0,24875.0
4481.0,Clothing stores,6683.0,7470.0,9283.0,9420.0,9496.0,9156.0,8872.0,10340.0,9683.0,9823.0,11492.0,16379.0
44811.0,Men's clothing stores,635.0,611.0,707.0,759.0,770.0,750.0,719.0,789.0,751.0,787.0,897.0,1332.0
44812.0,Women's clothing stores,1682.0,1991.0,2670.0,2706.0,2810.0,2564.0,2382.0,2640.0,2658.0,2648.0,2823.0,3873.0
44814.0,Family clothing stores,3272.0,3627.0,4460.0,4525.0,4577.0,4527.0,4437.0,5183.0,4672.0,4859.0,6082.0,8692.0
44819.0,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482.0,Shoe stores,1396.0,1587.0,1901.0,2005.0,1962.0,1878.0,1849.0,2363.0,1855.0,1737.0,1857.0,2485.0
44831.0,Jewelry stores,1244.0,1979.0,1500.0,1560.0,2126.0,1771.0,1632.0,1757.0,1694.0,1670.0,2159.0,5729.0
451.0,"Sporting goods, hobby, musical instrument, and book stores",4698.0,4527.0,5122.0,4937.0,5239.0,5345.0,5174.0,5892.0,5533.0,4934.0,6126.0,10065.0
45111.0,Sporting goods stores,1591.0,1681.0,2065.0,1991.0,2187.0,2319.0,2237.0,2257.0,2007.0,1725.0,1939.0,3309.0
45112.0,"Hobby, toy, and game stores",893.0,1002.0,1106.0,1136.0,1072.0,1098.0,1124.0,1132.0,1175.0,1285.0,2161.0,3763.0
451211.0,Book stores,1505.0,1090.0,1031.0,975.0,1104.0,1122.0,1048.0,1594.0,1406.0,1014.0,1098.0,1892.0
452.0,General merchandise stores,25958.0,27165.0,31168.0,31170.0,32968.0,32516.0,31535.0,33283.0,31125.0,32672.0,39623.0,55045.0
4521.0,Department stores,14728.0,15413.0,17867.0,18184.0,18976.0,18156.0,17353.0,18742.0,17269.0,18016.0,23454.0,34317.0
452111.0,Department stores(excl. discount department stores),5738.0,6335.0,7339.0,7351.0,7680.0,7180.0,6798.0,7651.0,7250.0,7478.0,9881.0,15601.0
452112.0,Discount dept. stores,8990.0,9078.0,10528.0,10833.0,11296.0,10976.0,10555.0,11091.0,10019.0,10538.0,13573.0,18716.0
4529.0,Other general merchandise stores,11230.0,11752.0,13301.0,12986.0,13992.0,14360.0,14182.0,14541.0,13856.0,14656.0,16169.0,20728.0
45291.0,Warehouse clubs and superstores,9180.0,9472.0,10742.0,10509.0,11339.0,11721.0,11587.0,11873.0,11343.0,11996.0,13143.0,16709.0
45299.0,All other gen. merchandise stores,2050.0,2280.0,2559.0,2477.0,2653.0,2639.0,2595.0,2668.0,2513.0,2660.0,3026.0,4019.0
453.0,Miscellaneous store retailers,7983.0,8873.0,9011.0,8336.0,9043.0,8810.0,8301.0,8971.0,8662.0,8769.0,8893.0,11067.0
4532.0,"Office supplies, stationery, and gift stores",3247.0,3346.0,3402.0,3109.0,3170.0,3073.0,3005.0,3540.0,3360.0,3430.0,3668.0,5303.0
45321.0,Office supplies and stationery stores,2098.0,1977.0,2029.0,1736.0,1766.0,1703.0,1611.0,2128.0,2019.0,1920.0,1767.0,1994.0
45322.0,"Gift, novelty, and souvenir stores",1149.0,1369.0,1373.0,1373.0,1404.0,1370.0,1394.0,1412.0,1341.0,1510.0,1901.0,3309.0
