NAICS  Code,Kind of Business,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May 1992,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992
441.0,Motor vehicle and parts dealers,29811.0,31217.0,35136.0,36082.0,36460.0,38389.0,37814.0,35436.0,35883.0,36738.0,32360.0,33067.0
"4411,4412",Automobile and other motor vehicle dealers,26788.0,28203.0,31684.0,32547.0,32883.0,34667.0,34077.0,31809.0,32337.0,32947.0,28908.0,29620.0
4411.0,Automobile dealers,25800.0,27031.0,30195.0,30583.0,31095.0,32798.0,32185.0,30139.0,30965.0,31578.0,27838.0,28237.0
44111.0,New car dealers,24056.0,25041.0,28018.0,27982.0,28924.0,30591.0,29934.0,28052.0,28949.0,29429.0,26171.0,26654.0
44112,Used car dealers,1744.0,1990.0,2177.0,2601.0,2171.0,2207.0,2251.0,2087.0,2016.0,2149.0,1667.0,1583.0
4413.0,"Automotive parts, acc., and tire stores",3023.0,3014.0,3452.0,3535.0,3577.0,3722.0,3737.0,3627.0,3546.0,3791.0,3452.0,3447.0
"442,443","Furniture, home furn, electronics, and appliance stores",7503.0,7398.0,7826.0,7668.0,7846.0,8145.0,8337.0,8263.0,8123.0,8511.0,9106.0,12301.0
442.0,Furniture and home furnishings stores,3846.0,3908.0,4157.0,4141.0,4275.0,4357.0,4407.0,4446.0,4328.0,4497.0,4687.0,5287.0
4421.0,Furniture stores,2392.0,2460.0,2607.0,2525.0,2605.0,2604.0,2627.0,2639.0,2611.0,2665.0,2768.0,3049.0
4422.0,Home furnishings stores,1454.0,1448.0,1550.0,1616.0,1670.0,1753.0,1780.0,1807.0,1717.0,1832.0,1919.0,2238.0
44221.0,Floor covering stores,728.0,731.0,851.0,899.0,856.0,950.0,904.0,917.0,916.0,977.0,940.0,928.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,3657.0,3490.0,3669.0,3527.0,3571.0,3788.0,3930.0,3817.0,3795.0,4014.0,4419.0,7014.0
443141.0,Household appliance stores,601.0,576.0,631.0,643.0,662.0,746.0,764.0,727.0,682.0,732.0,753.0,920.0
443142.0,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444.0,Building mat. and garden equip. and supplies dealers,8964.0,9023.0,10608.0,11630.0,12327.0,12219.0,11658.0,11219.0,11309.0,11605.0,10156.0,10271.0
4441.0,Building mat. and supplies dealers,7637.0,7567.0,8718.0,9330.0,9731.0,10178.0,9981.0,9742.0,9813.0,10018.0,8835.0,8765.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,842.0,818.0,958.0,1073.0,1232.0,1165.0,1142.0,1081.0,1053.0,1105.0,1037.0,1164.0
445.0,Food and beverage stores,29589.0,28570.0,29682.0,30228.0,31677.0,30769.0,32402.0,31469.0,30162.0,31407.0,30388.0,34170.0
4451.0,Grocery stores,27306.0,26223.0,27235.0,27588.0,28883.0,28039.0,29479.0,28645.0,27475.0,28583.0,27620.0,30294.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1509.0,1541.0,1597.0,1675.0,1822.0,1775.0,1912.0,1862.0,1770.0,1882.0,1831.0,2511.0
446.0,Health and personal care stores,7258.0,7150.0,7413.0,7531.0,7488.0,7387.0,7277.0,7313.0,7071.0,7467.0,7115.0,9235.0
44611.0,Pharmacies and drug stores,6358.0,6284.0,6420.0,6573.0,6491.0,6342.0,6236.0,6280.0,6074.0,6439.0,6175.0,8119.0
447.0,Gasoline stations,12099.0,11580.0,12272.0,12443.0,13449.0,13427.0,13874.0,13825.0,13140.0,13663.0,13064.0,13488.0
448.0,Clothing and clothing access. stores,6938.0,7524.0,8475.0,9401.0,9558.0,9182.0,9103.0,10513.0,9573.0,10254.0,11187.0,18395.0
4481.0,Clothing stores,4852.0,5159.0,6024.0,6682.0,6768.0,6534.0,6551.0,7486.0,6878.0,7514.0,8201.0,12721.0
44811.0,Men's clothing stores,701.0,658.0,731.0,816.0,856.0,853.0,714.0,777.0,762.0,841.0,913.0,1557.0
44812.0,Women's clothing stores,1873.0,1991.0,2403.0,2665.0,2752.0,2424.0,2373.0,2657.0,2560.0,2755.0,2946.0,4416.0
44814.0,Family clothing stores,1649.0,1864.0,2152.0,2438.0,2412.0,2516.0,2653.0,3046.0,2687.0,2993.0,3399.0,5337.0
