NAICS  Code,Kind of Business,Jan. 1994,Feb. 1994,Mar. 1994,Apr. 1994,May 1994,Jun. 1994,Jul. 1994,Aug. 1994,Sep. 1994,Oct. 1994,Nov. 1994,Dec. 1994
441.0,Motor vehicle and parts dealers,36499.0,39207.0,48794.0,47592.0,47065.0,49302.0,45730.0,48327.0,46351.0,46178.0,43612.0,42484.0
"4411,4412",Automobile and other motor vehicle dealers,33029.0,35683.0,44600.0,43430.0,42927.0,44968.0,41468.0,43763.0,42187.0,41913.0,39444.0,38489.0
4411.0,Automobile dealers,32059.0,34391.0,42411.0,40973.0,40507.0,42280.0,39162.0,41652.0,40272.0,39790.0,37734.0,36869.0
44111.0,New car dealers,29860.0,31959.0,39742.0,38191.0,37869.0,39511.0,36388.0,38533.0,37385.0,36654.0,35170.0,34399.0
44112,Used car dealers,2199.0,2432.0,2669.0,2782.0,2638.0,2769.0,2774.0,3119.0,2887.0,3136.0,2564.0,2470.0
4413.0,"Automotive parts, acc., and tire stores",3470.0,3524.0,4194.0,4162.0,4138.0,4334.0,4262.0,4564.0,4164.0,4265.0,4168.0,3995.0
"442,443","Furniture, home furn, electronics, and appliance stores",8526.0,8391.0,9631.0,9220.0,9523.0,10005.0,9980.0,10561.0,10331.0,10647.0,12005.0,15966.0
442.0,Furniture and home furnishings stores,4018.0,4140.0,4827.0,4700.0,4867.0,4958.0,4980.0,5356.0,5203.0,5328.0,5734.0,6305.0
4421.0,Furniture stores,2535.0,2557.0,2916.0,2824.0,2860.0,2891.0,2925.0,3077.0,3064.0,3039.0,3272.0,3543.0
4422.0,Home furnishings stores,1483.0,1583.0,1911.0,1876.0,2007.0,2067.0,2055.0,2279.0,2139.0,2289.0,2462.0,2762.0
44221.0,Floor covering stores,785.0,838.0,1019.0,1007.0,1061.0,1117.0,1080.0,1189.0,1129.0,1213.0,1177.0,1150.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,4508.0,4251.0,4804.0,4520.0,4656.0,5047.0,5000.0,5205.0,5128.0,5319.0,6271.0,9661.0
443141.0,Household appliance stores,640.0,592.0,692.0,676.0,703.0,829.0,789.0,771.0,714.0,746.0,885.0,1008.0
443142.0,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444.0,Building mat. and garden equip. and supplies dealers,9725.0,9861.0,12658.0,13937.0,15025.0,14724.0,13602.0,14320.0,13803.0,13894.0,12991.0,12688.0
4441.0,Building mat. and supplies dealers,8393.0,8487.0,10682.0,11314.0,12236.0,12445.0,11852.0,12720.0,12139.0,12266.0,11557.0,11008.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,955.0,863.0,1049.0,1228.0,1292.0,1266.0,1212.0,1189.0,1132.0,1194.0,1160.0,1238.0
445.0,Food and beverage stores,30251.0,28514.0,31920.0,31208.0,32215.0,32537.0,33288.0,32613.0,31860.0,31846.0,31915.0,36173.0
4451.0,Grocery stores,27889.0,26175.0,29261.0,28529.0,29402.0,29721.0,30344.0,29792.0,29102.0,29079.0,29077.0,32152.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1548.0,1505.0,1714.0,1757.0,1830.0,1857.0,1981.0,1858.0,1823.0,1806.0,1845.0,2577.0
446.0,Health and personal care stores,7511.0,7211.0,8069.0,7760.0,8035.0,7982.0,7850.0,8126.0,7821.0,7968.0,7928.0,10102.0
44611.0,Pharmacies and drug stores,6504.0,6205.0,6926.0,6622.0,6788.0,6670.0,6573.0,6829.0,6570.0,6777.0,6800.0,8730.0
447.0,Gasoline stations,12714.0,12293.0,13647.0,13645.0,14351.0,14720.0,15138.0,15596.0,14722.0,14856.0,14536.0,15004.0
448.0,Clothing and clothing access. stores,7280.0,7902.0,9921.0,9869.0,10009.0,9893.0,9735.0,11157.0,10217.0,10730.0,12354.0,20016.0
4481.0,Clothing stores,5128.0,5425.0,7099.0,7014.0,6947.0,6947.0,6834.0,7766.0,7177.0,7718.0,8810.0,13296.0
44811.0,Men's clothing stores,688.0,632.0,762.0,774.0,791.0,819.0,719.0,754.0,754.0,836.0,935.0,1568.0
44812.0,Women's clothing stores,1786.0,1970.0,2560.0,2558.0,2552.0,2447.0,2248.0,2538.0,2418.0,2572.0,2798.0,4138.0
44814.0,Family clothing stores,1996.0,2126.0,2875.0,2806.0,2782.0,2875.0,2968.0,3353.0,3028.0,3313.0,3975.0,6006.0
44819.0,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482.0,Shoe stores,1191.0,1238.0,1705.0,1628.0,1637.0,1624.0,1620.0,1985.0,1710.0,1598.0,1699.0,2272.0
44831.0,Jewelry stores,897.0,1181.0,1050.0,1161.0,1356.0,1246.0,1214.0,1309.0,1236.0,1312.0,1718.0,4172.0
451.0,"Sporting goods, hobby, musical instrument, and book stores",3499.0,3116.0,3718.0,3640.0,3641.0,3796.0,3688.0,4423.0,4104.0,3904.0,4630.0,7986.0
45111.0,Sporting goods stores,1168.0,1193.0,1488.0,1551.0,1551.0,1677.0,1584.0,1737.0,1470.0,1324.0,1471.0,2611.0
45112.0,"Hobby, toy, and game stores",618.0,637.0,819.0,782.0,742.0,758.0,778.0,801.0,806.0,987.0,1677.0,3445.0
451211.0,Book stores,1053.0,635.0,634.0,610.0,684.0,724.0,678.0,1154.0,1022.0,732.0,772.0,1409.0
452.0,General merchandise stores,17084.0,17665.0,21680.0,21420.0,22421.0,22639.0,21852.0,23503.0,22083.0,24098.0,28624.0,42121.0
4521.0,Department stores,11666.0,12160.0,15196.0,14901.0,15504.0,15622.0,15036.0,16426.0,15248.0,16680.0,20226.0,30280.0
452111.0,Department stores(excl. discount department stores),4989.0,5350.0,6947.0,6560.0,6687.0,6703.0,6398.0,7456.0,6893.0,7468.0,9380.0,14571.0
452112.0,Discount dept. stores,6677.0,6810.0,8249.0,8341.0,8817.0,8919.0,8638.0,8970.0,8355.0,9212.0,10846.0,15709.0
4529.0,Other general merchandise stores,5418.0,5505.0,6484.0,6519.0,6917.0,7017.0,6816.0,7077.0,6835.0,7418.0,8398.0,11841.0
45291.0,Warehouse clubs and superstores,3560.0,3574.0,4219.0,4282.0,4594.0,4691.0,4629.0,4795.0,4633.0,5067.0,5746.0,7966.0
45299.0,All other gen. merchandise stores,1858.0,1931.0,2265.0,2237.0,2323.0,2326.0,2187.0,2282.0,2202.0,2351.0,2652.0,3875.0
453.0,Miscellaneous store retailers,4342.0,4691.0,5145.0,5105.0,6071.0,5901.0,5828.0,6339.0,6066.0,5769.0,5948.0,8252.0
4532.0,"Office supplies, stationery, and gift stores",1780.0,1914.0,1932.0,1880.0,2117.0,2119.0,2152.0,2393.0,2226.0,2222.0,2478.0,3930.0
45321.0,Office supplies and stationery stores,1102.0,1040.0,1040.0,974.0,1039.0,1007.0,999.0,1249.0,1185.0,1081.0,1171.0,1348.0
45322.0,"Gift, novelty, and souvenir stores",678.0,874.0,892.0,906.0,1078.0,1112.0,1153.0,1144.0,1041.0,1141.0,1307.0,2582.0
45330.0,Used merchandise stores,423.0,454.0,535.0,457.0,446.0,456.0,429.0,594.0,568.0,551.0,529.0,683.0
454.0,Nonstore retailers,7845.0,7481.0,8379.0,7399.0,7171.0,7010.0,6507.0,7480.0,7770.0,8752.0,9729.0,10757.0
4541.0,Electronic shopping and mail-order houses,3532.0,3141.0,3898.0,3619.0,3464.0,3296.0,3097.0,3597.0,3812.0,4309.0,5254.0,6018.0
45431.0,Fuel dealers,2419.0,2185.0,1893.0,1253.0,1162.0,1101.0,1054.0,1204.0,1286.0,1472.0,1631.0,2040.0
722.0,Food services and drinking places,16073.0,16509.0,18757.0,18774.0,19400.0,19437.0,20157.0,19943.0,18826.0,19314.0,18248.0,19562.0
7224.0,Drinking places,906.0,910.0,1025.0,1026.0,1014.0,977.0,990.0,989.0,960.0,981.0,962.0,1022.0
7225.0,Restaurants and other eating places,13914.0,14289.0,16247.0,16234.0,16765.0,16805.0,17514.0,17305.0,16346.0,16780.0,15853.0,16973.0
722511.0,Full service restaurants,6968.0,7243.0,8140.0,8106.0,8325.0,8254.0,8649.0,8622.0,8044.0,8227.0,7788.0,8317.0
"722513, 722514, 722515",Limited service eating places,6946.0,7046.0,8107.0,8128.0,8440.0,8551.0,8865.0,8683.0,8302.0,8553.0,8065.0,8656.0
