NAICS  Code,Kind of Business,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997
441.0,Motor vehicle and parts dealers,48395.0,50126.0,57665.0,56305.0,57939.0,57464.0,58472.0,58070.0,54860.0,55571.0,48573.0,50377.0
"4411,4412",Automobile and other motor vehicle dealers,44005.0,45910.0,52878.0,51308.0,52905.0,52422.0,53165.0,52861.0,49851.0,50341.0,43827.0,45800.0
4411.0,Automobile dealers,42327.0,43870.0,50056.0,48221.0,49695.0,49284.0,50159.0,49949.0,47367.0,47944.0,41943.0,43843.0
44111.0,New car dealers,38950.0,40036.0,45967.0,44106.0,45673.0,45196.0,46093.0,46085.0,43626.0,44122.0,38649.0,40469.0
44112,Used car dealers,3377.0,3834.0,4089.0,4115.0,4022.0,4088.0,4066.0,3864.0,3741.0,3822.0,3294.0,3374.0
4413.0,"Automotive parts, acc., and tire stores",4390.0,4216.0,4787.0,4997.0,5034.0,5042.0,5307.0,5209.0,5009.0,5230.0,4746.0,4577.0
"442,443","Furniture, home furn, electronics, and appliance stores",11120.0,10671.0,11719.0,11351.0,11904.0,11781.0,12245.0,12680.0,12200.0,12540.0,13853.0,18308.0
442.0,Furniture and home furnishings stores,5311.0,5116.0,5715.0,5670.0,6010.0,5805.0,6027.0,6263.0,6094.0,6369.0,6781.0,7554.0
4421.0,Furniture stores,3233.0,3114.0,3368.0,3250.0,3519.0,3343.0,3397.0,3621.0,3480.0,3605.0,3862.0,4085.0
4422.0,Home furnishings stores,2078.0,2002.0,2347.0,2420.0,2491.0,2462.0,2630.0,2642.0,2614.0,2764.0,2919.0,3469.0
44221.0,Floor covering stores,1162.0,1127.0,1298.0,1345.0,1340.0,1362.0,1376.0,1355.0,1451.0,1514.0,1368.0,1352.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,5809.0,5555.0,6004.0,5681.0,5894.0,5976.0,6218.0,6417.0,6106.0,6171.0,7072.0,10754.0
443141.0,Household appliance stores,778.0,724.0,809.0,792.0,841.0,919.0,970.0,886.0,828.0,858.0,903.0,1066.0
443142.0,Electronics stores,5031.0,4831.0,5195.0,4889.0,5053.0,5057.0,5248.0,5531.0,5278.0,5313.0,6169.0,9688.0
444.0,Building mat. and garden equip. and supplies dealers,12505.0,12534.0,15084.0,17183.0,18390.0,17601.0,17455.0,16268.0,16662.0,17319.0,14815.0,15247.0
4441.0,Building mat. and supplies dealers,10767.0,10740.0,12563.0,14083.0,14943.0,14716.0,15012.0,14189.0,14506.0,15003.0,12799.0,12747.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,997.0,875.0,1020.0,1196.0,1332.0,1296.0,1271.0,1220.0,1171.0,1245.0,1141.0,1188.0
445.0,Food and beverage stores,33175.0,30538.0,34446.0,32637.0,35522.0,33570.0,35396.0,35191.0,33039.0,34401.0,34128.0,37330.0
4451.0,Grocery stores,30534.0,27985.0,31513.0,29853.0,32412.0,30527.0,32232.0,32032.0,30142.0,31319.0,31032.0,32989.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1706.0,1621.0,1853.0,1817.0,2060.0,2002.0,2098.0,2079.0,1892.0,2050.0,2082.0,2821.0
446.0,Health and personal care stores,9306.0,9022.0,9962.0,9482.0,9965.0,9728.0,9860.0,9769.0,9603.0,10028.0,9716.0,12231.0
44611.0,Pharmacies and drug stores,7889.0,7615.0,8330.0,7885.0,8300.0,7968.0,8065.0,7997.0,7930.0,8309.0,8146.0,10389.0
447.0,Gasoline stations,15956.0,14912.0,16562.0,16364.0,17316.0,17049.0,17478.0,17733.0,16791.0,17162.0,16006.0,16371.0
448.0,Clothing and clothing access. stores,8194.0,8835.0,10840.0,10131.0,11505.0,10654.0,10734.0,12461.0,10942.0,11635.0,13244.0,21118.0
4481.0,Clothing stores,5785.0,5902.0,7640.0,7110.0,7916.0,7444.0,7540.0,8802.0,7797.0,8436.0,9522.0,13828.0
44811.0,Men's clothing stores,697.0,633.0,746.0,716.0,809.0,793.0,737.0,846.0,761.0,870.0,987.0,1474.0
44812.0,Women's clothing stores,1699.0,1813.0,2353.0,2227.0,2429.0,2199.0,2103.0,2334.0,2265.0,2358.0,2486.0,3556.0
44814.0,Family clothing stores,2487.0,2542.0,3396.0,3144.0,3539.0,3404.0,3588.0,4202.0,3558.0,3973.0,4708.0,6702.0
44819.0,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482.0,Shoe stores,1279.0,1429.0,1902.0,1663.0,1888.0,1770.0,1773.0,2200.0,1702.0,1689.0,1778.0,2377.0
44831.0,Jewelry stores,1034.0,1400.0,1175.0,1258.0,1585.0,1330.0,1313.0,1348.0,1334.0,1395.0,1799.0,4658.0
451.0,"Sporting goods, hobby, musical instrument, and book stores",4311.0,3588.0,4209.0,4177.0,4372.0,4456.0,4298.0,4949.0,4547.0,4463.0,5411.0,8911.0
45111.0,Sporting goods stores,1337.0,1331.0,1609.0,1726.0,1788.0,1970.0,1838.0,1955.0,1595.0,1521.0,1651.0,2846.0
45112.0,"Hobby, toy, and game stores",730.0,791.0,1032.0,896.0,947.0,940.0,963.0,958.0,971.0,1141.0,2009.0,3643.0
451211.0,Book stores,1558.0,825.0,813.0,806.0,894.0,875.0,830.0,1301.0,1158.0,923.0,994.0,1765.0
452.0,General merchandise stores,21164.0,21560.0,25681.0,24490.0,27443.0,26328.0,25897.0,28066.0,24928.0,27906.0,32529.0,45371.0
4521.0,Department stores,13463.0,14077.0,17084.0,16180.0,18118.0,17259.0,16673.0,18633.0,16229.0,18259.0,22114.0,32019.0
452111.0,Department stores(excl. discount department stores),5528.0,5880.0,7143.0,6714.0,7475.0,6974.0,6742.0,7924.0,6984.0,7840.0,9708.0,15073.0
452112.0,Discount dept. stores,7935.0,8197.0,9941.0,9466.0,10643.0,10285.0,9931.0,10709.0,9245.0,10419.0,12406.0,16946.0
4529.0,Other general merchandise stores,7701.0,7483.0,8597.0,8310.0,9325.0,9069.0,9224.0,9433.0,8699.0,9647.0,10415.0,13352.0
45291.0,Warehouse clubs and superstores,5696.0,5434.0,6243.0,6104.0,6852.0,6697.0,6817.0,6947.0,6448.0,7186.0,7734.0,9761.0
45299.0,All other gen. merchandise stores,2005.0,2049.0,2354.0,2206.0,2473.0,2372.0,2407.0,2486.0,2251.0,2461.0,2681.0,3591.0
453.0,Miscellaneous store retailers,6415.0,6829.0,6975.0,7035.0,7465.0,7464.0,7526.0,7661.0,7565.0,7614.0,7406.0,10277.0
4532.0,"Office supplies, stationery, and gift stores",2620.0,2632.0,2596.0,2490.0,2513.0,2422.0,2538.0,2811.0,2690.0,2841.0,2908.0,4606.0
45321.0,Office supplies and stationery stores,1686.0,1448.0,1394.0,1345.0,1291.0,1234.0,1330.0,1551.0,1529.0,1526.0,1310.0,1690.0
45322.0,"Gift, novelty, and souvenir stores",934.0,1184.0,1202.0,1145.0,1222.0,1188.0,1208.0,1260.0,1161.0,1315.0,1598.0,2916.0
45330.0,Used merchandise stores,621.0,687.0,620.0,559.0,558.0,584.0,667.0,674.0,691.0,766.0,740.0,891.0
454.0,Nonstore retailers,10532.0,9813.0,10607.0,10064.0,9695.0,9396.0,9495.0,9104.0,10278.0,11506.0,11852.0,13848.0
4541.0,Electronic shopping and mail-order houses,5042.0,4577.0,5594.0,5491.0,5304.0,5204.0,5198.0,5165.0,6080.0,6693.0,7029.0,8690.0
45431.0,Fuel dealers,3016.0,2311.0,1996.0,1706.0,1461.0,1256.0,1273.0,1352.0,1452.0,1752.0,1920.0,2446.0
722.0,Food services and drinking places,19316.0,19128.0,21383.0,21110.0,22674.0,21874.0,22665.0,23300.0,21392.0,22106.0,20751.0,21665.0
7224.0,Drinking places,1051.0,1000.0,1102.0,1094.0,1143.0,1094.0,1175.0,1212.0,1109.0,1185.0,1102.0,1112.0
7225.0,Restaurants and other eating places,16718.0,16625.0,18627.0,18361.0,19759.0,18986.0,19737.0,20287.0,18434.0,19081.0,17940.0,18753.0
722511.0,Full service restaurants,8658.0,8610.0,9559.0,9301.0,9942.0,9428.0,10036.0,10481.0,9505.0,9813.0,9192.0,9661.0
"722513, 722514, 722515",Limited service eating places,8060.0,8015.0,9068.0,9060.0,9817.0,9558.0,9701.0,9806.0,8929.0,9268.0,8748.0,9092.0
