NAICS  Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May. 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018
441,Motor vehicle and parts dealers,88243,89728,109760,99466,109239,104879,103830,108381,95966,99033,95230,101048
"44,114,412",Automobile and other motor vehicle dealers,81003,82701,101441,91695,100854,96675,95619,99859,88197,90587,87350,93824
4411,Automobile dealers,76900,77775,94586,84366,92690,88505,88463,92692,82407,85177,82531,89379
44111,New car dealers,67879,67635,83075,74595,82342,78485,78428,82340,73197,75794,73608,80750
44112,Used car dealers,9021,10140,11511,9771,10348,10020,10035,10352,9210,9383,8923,8629
4413,"Automotive parts, acc., and tire stores",7240,7027,8319,7771,8385,8204,8211,8522,7769,8446,7880,7224
"442,443","Furniture, home furn, electronics, and appliance stores",16168,15673,17766,16200,17511,17425,17294,18260,17039,17301,20335,22124
442,Furniture and home furnishings stores,8878,8701,10185,9365,10114,9921,9916,10399,9759,9966,10770,11120
4421,Furniture stores,4719,4798,5669,5011,5377,5409,5287,5534,5382,5175,5491,5427
4422,Home furnishings stores,4159,3903,4516,4354,4737,4512,4629,4865,4377,4791,5279,5693
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
442299,All other home furnishings stores,2299,2057,2351,2183,2395,2209,2354,2531,2263,2449,3150,3808
443,Electronics and appliance stores,7290,6972,7581,6835,7397,7504,7378,7861,7280,7335,9565,11004
443141,Household appliance stores,1227,1221,1415,1315,1498,1479,1460,1514,1340,1406,1522,1393
443142,Electronics stores,6063,5751,6166,5520,5899,6025,5918,6347,5940,5929,8043,9611
444,Building mat. and garden equip. and supplies dealers,23535,23507,29753,32034,37940,34966,33133,32075,29354,32490,29908,27530
4441,Building mat. and supplies dealers,21084,20764,25690,27423,32365,30594,29673,28644,26048,28547,26446,23986
44412,Paint and wallpaper stores,803,821,994,1016,1152,1174,1150,1197,1042,1143,936,817
44413,Hardware stores,1933,1826,2317,2362,2726,2509,2350,2364,2172,2385,2263,2260
445,Food and beverage stores,60393,56483,63791,59571,64527,62765,63399,63628,61186,62554,63656,68047
4451,Grocery stores,54910,50967,57356,53647,57855,56107,56720,57015,54910,56019,56647,59177
44511,Supermarkets and other grocery (except convenience) stores,52638,48708,54758,50995,55109,53351,53962,54230,52296,53358,54139,56691
4453,"Beer, wine, and liquor stores",3792,3792,4436,4143,4702,4740,4761,4697,4416,4555,4926,6128
446,Health and personal care stores,27699,25667,28477,27155,28960,27655,27467,28904,26846,29355,28786,30794
44611,Pharmacies and drug stores,23606,21410,23426,22611,24157,22659,22881,23994,22167,24713,23708,24750
447,Gasoline stations,38954,36879,42186,42573,47442,46750,47089,47873,44442,47071,42017,38177
448,Clothing and clothing access. stores,15780,18424,22207,20463,23560,21294,21733,23121,19782,21203,25364,33950
4481,Clothing stores,11643,12926,16382,14945,17132,15676,15944,16608,14709,15833,19074,23481
44811,Men's clothing stores,594,626,774,830,867,780,676,721,738,765,839,1012
44812,Women's clothing stores,2314,2635,3429,3325,3692,3194,3109,3270,3071,3406,4010,4392
44814,Family clothing stores,6322,7061,9081,8070,9546,8767,9142,9501,8244,8989,10851,13626
44819,Other clothing stores,1220,1251,1471,1268,1436,1558,1606,1610,1315,1297,1680,2190
4482,Shoe stores,2076,2696,3275,2920,3158,2893,3255,3898,2736,2841,3288,4217
44831,Jewelry stores,1849,2569,2293,2348,2973,2469,2286,2371,2110,2300,2726,5789
451,"Sporting goods, hobby, musical instrument, and book stores",5964,5673,7049,6329,6788,6822,6366,7361,6100,6039,7290,9348
45111,Sporting goods stores,2816,3076,3853,3597,3859,4151,3928,4145,3198,3266,3760,5106
45112,"Hobby, toy, and game stores",1187,1230,1720,1358,1438,1259,1046,1100,1182,1282,1986,2101
451211,Book stores,1219,646,665,638,707,647,620,1247,886,654,680,1149
452,General merchandise stores,50594,50770,59068,53805,60281,58091,57383,60099,54945,57771,66319,77968
4521,Department stores,9120,9663,11481,10567,12014,11166,10979,12083,10371,10995,14562,19082
452111,Department stores(excl. discount department stores),2638,3041,3643,3551,3860,3421,3273,3423,3191,3324,4850,6356
452112,Discount dept. stores,6482,6622,7838,7016,8154,7745,7706,8660,7180,7671,9712,12726
4529,Other general merchandise stores,41474,41107,47587,43238,48267,46925,46404,48016,44574,46776,51757,58886
45291,Warehouse clubs and superstores,35948,35461,41098,37228,41417,40547,40132,41593,38362,40187,44281,50429
45299,All other gen. merchandise stores,5526,5646,6489,6010,6850,6378,6272,6423,6212,6589,7476,8457
453,Miscellaneous store retailers,9472,9235,10348,10121,12184,11197,10531,11168,10198,11441,11058,11455
4532,"Office supplies, stationery, and gift stores",2144,2071,2311,2193,2469,2403,2596,2970,2506,3105,2504,3052
45321,Office supplies and stationery stores,1067,887,950,859,864,801,923,1355,944,864,872,977
45322,"Gift, novelty, and souvenir stores",1077,1184,1361,1334,1605,1602,1673,1615,1562,2241,1632,2075
45330,Used merchandise stores,1313,1366,1544,1437,1495,1415,1336,1491,1376,1565,1438,1399
454,Nonstore retailers,53006,48632,54589,52528,55618,51733,53542,55160,51314,57620,69356,73085
4541,Electronic shopping and mail-order houses,43140,40701,46222,45015,48188,45294,47154,48469,44922,49855,61028,64279
45431,Fuel dealers,5831,3807,3582,2818,2211,1813,1886,2043,2050,2962,3487,4040
722,Food services and drinking places,54478,54702,63389,60128,63941,63529,63442,64514,59965,61724,59138,63088
7224,Drinking places,2033,2009,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
7225,Restaurants and other eating places,47791,47531,55287,52178,55905,56132,56429,56674,51577,53058,51176,55411
722511,Full service restaurants,24145,24068,27766,25987,27820,27818,27696,27881,25229,25858,25062,28544
"722513, 722514, 722515",Limited service eating places,23646,23463,27521,26191,28085,28314,28733,28793,26348,27200,26114,26867
