NAICS  Code,Kind of Business,Jan. 1996,Feb. 1996,Mar. 1996,Apr. 1996,May 1996,Jun. 1996,Jul. 1996,Aug. 1996,Sep. 1996,Oct. 1996,Nov. 1996,Dec. 1996
441.0,Motor vehicle and parts dealers,44859.0,49575.0,55636.0,54096.0,58150.0,54914.0,55071.0,55481.0,51121.0,54229.0,48137.0,46238.0
"4411,4412",Automobile and other motor vehicle dealers,40774.0,45392.0,51156.0,49404.0,53269.0,50191.0,50106.0,50510.0,46624.0,49156.0,43541.0,41820.0
4411.0,Automobile dealers,39261.0,43538.0,48844.0,46624.0,50252.0,47187.0,47404.0,47531.0,44473.0,46980.0,41746.0,40109.0
44111.0,New car dealers,36390.0,40087.0,44798.0,42745.0,46525.0,43649.0,43833.0,44020.0,41252.0,43454.0,38484.0,37103.0
44112,Used car dealers,2871.0,3451.0,4046.0,3879.0,3727.0,3538.0,3571.0,3511.0,3221.0,3526.0,3262.0,3006.0
4413.0,"Automotive parts, acc., and tire stores",4085.0,4183.0,4480.0,4692.0,4881.0,4723.0,4965.0,4971.0,4497.0,5073.0,4596.0,4418.0
"442,443","Furniture, home furn, electronics, and appliance stores",10614.0,10431.0,11419.0,10925.0,11517.0,11376.0,11564.0,12151.0,11525.0,12044.0,13353.0,16848.0
442.0,Furniture and home furnishings stores,4788.0,4833.0,5410.0,5310.0,5603.0,5479.0,5673.0,5893.0,5589.0,5970.0,6425.0,6734.0
4421.0,Furniture stores,2884.0,2960.0,3270.0,3127.0,3278.0,3205.0,3242.0,3358.0,3232.0,3344.0,3619.0,3649.0
4422.0,Home furnishings stores,1904.0,1873.0,2140.0,2183.0,2325.0,2274.0,2431.0,2535.0,2357.0,2626.0,2806.0,3085.0
44221.0,Floor covering stores,1039.0,1006.0,1135.0,1225.0,1242.0,1211.0,1303.0,1322.0,1244.0,1371.0,1292.0,1249.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,5826.0,5598.0,6009.0,5615.0,5914.0,5897.0,5891.0,6258.0,5936.0,6074.0,6928.0,10114.0
443141.0,Household appliance stores,748.0,699.0,784.0,802.0,858.0,853.0,855.0,899.0,817.0,856.0,944.0,1100.0
443142.0,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444.0,Building mat. and garden equip. and supplies dealers,11587.0,11828.0,13406.0,15667.0,16952.0,16177.0,16228.0,15796.0,14901.0,16190.0,14430.0,13521.0
4441.0,Building mat. and supplies dealers,10050.0,10148.0,11357.0,12751.0,13919.0,13529.0,13874.0,13765.0,12970.0,14060.0,12549.0,11481.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,974.0,916.0,1025.0,1247.0,1364.0,1303.0,1238.0,1182.0,1079.0,1183.0,1172.0,1224.0
445.0,Food and beverage stores,31733.0,30778.0,33060.0,32158.0,34382.0,33452.0,34426.0,34841.0,32214.0,33524.0,34045.0,36460.0
4451.0,Grocery stores,29172.0,28191.0,30245.0,29344.0,31364.0,30470.0,31377.0,31747.0,29495.0,30674.0,31014.0,32454.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1679.0,1652.0,1837.0,1798.0,1957.0,1958.0,2034.0,2062.0,1781.0,1860.0,1992.0,2547.0
446.0,Health and personal care stores,8401.0,8510.0,8964.0,8904.0,9366.0,8818.0,9079.0,9182.0,8611.0,9288.0,9132.0,11302.0
44611.0,Pharmacies and drug stores,7134.0,7190.0,7510.0,7425.0,7755.0,7264.0,7484.0,7629.0,7208.0,7811.0,7699.0,9701.0
447.0,Gasoline stations,14473.0,14159.0,15616.0,16024.0,17428.0,16957.0,17039.0,17271.0,15975.0,16671.0,16237.0,16575.0
448.0,Clothing and clothing access. stores,7684.0,8991.0,10349.0,10570.0,11405.0,10554.0,10202.0,12134.0,10623.0,11250.0,12875.0,19944.0
4481.0,Clothing stores,5325.0,6050.0,7189.0,7278.0,7648.0,7277.0,7000.0,8304.0,7495.0,8024.0,9114.0,13008.0
44811.0,Men's clothing stores,639.0,651.0,708.0,718.0,774.0,759.0,660.0,761.0,744.0,793.0,919.0,1420.0
44812.0,Women's clothing stores,1565.0,1834.0,2193.0,2346.0,2552.0,2375.0,2072.0,2353.0,2276.0,2413.0,2594.0,3665.0
