NAICS  Code,Kind of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May. 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019
441,Motor vehicle and parts dealers,87889,89623,110355,103370,111785,104650,109183,114591,99612,103856,101242,103611
"44,114,412",Automobile and other motor vehicle dealers,80625,82469,101927,95090,103213,96499,100703,105884,91758,95219,93303,96137
4411,Automobile dealers,76147,77461,94814,87537,94742,88523,93041,98738,85985,89711,88406,91579
44111,New car dealers,67012,67456,82564,76907,83937,78207,82550,88148,76300,79728,78776,82739
44112,Used car dealers,9135,10005,12250,10630,10805,10316,10491,10590,9685,9983,9630,8840
4413,"Automotive parts, acc., and tire stores",7264,7154,8428,8280,8572,8151,8480,8707,7854,8637,7939,7474
"442,443","Furniture, home furn, electronics, and appliance stores",15980,15191,17210,16068,17408,16742,17358,18135,17239,17368,20279,22075
442,Furniture and home furnishings stores,8818,8629,10018,9579,10296,9759,10188,10616,10116,10272,11037,11189
4421,Furniture stores,4628,4616,5503,5065,5566,5335,5496,5705,5631,5432,5793,5438
4422,Home furnishings stores,4190,4013,4515,4514,4730,4424,4692,4911,4485,4840,5244,5751
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
442299,All other home furnishings stores,2246,2088,2353,2300,2480,2200,2454,2577,2305,2506,3083,3746
443,Electronics and appliance stores,7162,6562,7192,6489,7112,6983,7170,7519,7123,7096,9242,10886
443141,Household appliance stores,1198,1177,1334,1310,1471,1398,1523,1467,1357,1409,1500,1423
443142,Electronics stores,5964,5385,5858,5179,5641,5585,5647,6052,5766,5687,7742,9463
444,Building mat. and garden equip. and supplies dealers,26620,24039,29916,34033,37235,33517,33691,32375,29963,32629,29793,28621
4441,Building mat. and supplies dealers,23425,21061,25871,29233,32196,29265,29938,28915,26662,28697,26220,24990
44412,Paint and wallpaper stores,912,860,1029,982,1192,1174,1248,1257,1149,1162,940,829
44413,Hardware stores,2083,1910,2340,2517,2821,2579,2524,2525,2317,2549,2335,2337
