NAICS  Code,Kind of Business,Jan. 1995,Feb. 1995,Mar. 1995,Apr. 1995,May 1995,Jun. 1995,Jul. 1995,Aug. 1995,Sep. 1995,Oct. 1995,Nov. 1995,Dec. 1995
441.0,Motor vehicle and parts dealers,40555.0,41459.0,51531.0,47869.0,52775.0,54922.0,49968.0,53479.0,48827.0,48488.0,46040.0,43802.0
"4411,4412",Automobile and other motor vehicle dealers,36800.0,37825.0,47198.0,43638.0,48264.0,50296.0,45544.0,48616.0,44470.0,43925.0,41534.0,39702.0
4411.0,Automobile dealers,35487.0,36245.0,44670.0,41130.0,45489.0,47260.0,43032.0,46037.0,42201.0,41908.0,40133.0,38092.0
44111.0,New car dealers,32778.0,33412.0,41374.0,38132.0,42309.0,43957.0,39540.0,42592.0,38978.0,38834.0,37202.0,35534.0
44112,Used car dealers,2709.0,2833.0,3296.0,2998.0,3180.0,3303.0,3492.0,3445.0,3223.0,3074.0,2931.0,2558.0
4413.0,"Automotive parts, acc., and tire stores",3755.0,3634.0,4333.0,4231.0,4511.0,4626.0,4424.0,4863.0,4357.0,4563.0,4506.0,4100.0
"442,443","Furniture, home furn, electronics, and appliance stores",10129.0,9415.0,10658.0,9834.0,10633.0,10884.0,10755.0,11499.0,11160.0,11338.0,12929.0,16615.0
442.0,Furniture and home furnishings stores,4649.0,4410.0,5084.0,4818.0,5195.0,5196.0,5190.0,5506.0,5418.0,5505.0,6090.0,6409.0
4421.0,Furniture stores,2856.0,2663.0,3052.0,2813.0,3024.0,3046.0,3022.0,3178.0,3191.0,3175.0,3417.0,3540.0
4422.0,Home furnishings stores,1793.0,1747.0,2032.0,2005.0,2171.0,2150.0,2168.0,2328.0,2227.0,2330.0,2673.0,2869.0
44221.0,Floor covering stores,974.0,979.0,1139.0,1089.0,1160.0,1174.0,1122.0,1226.0,1188.0,1228.0,1242.0,1183.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,5480.0,5005.0,5574.0,5016.0,5438.0,5688.0,5565.0,5993.0,5742.0,5833.0,6839.0,10206.0
443141.0,Household appliance stores,744.0,667.0,794.0,724.0,823.0,890.0,923.0,896.0,799.0,800.0,893.0,1027.0
443142.0,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444.0,Building mat. and garden equip. and supplies dealers,11086.0,10967.0,13447.0,13907.0,15700.0,15414.0,14174.0,14783.0,13950.0,14616.0,13600.0,12917.0
4441.0,Building mat. and supplies dealers,9734.0,9496.0,11445.0,11416.0,12980.0,12995.0,12125.0,12894.0,12234.0,12767.0,11864.0,11078.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,872.0,845.0,1057.0,1154.0,1339.0,1336.0,1226.0,1177.0,1148.0,1137.0,1189.0,1238.0
445.0,Food and beverage stores,31039.0,29132.0,32361.0,31792.0,33178.0,33060.0,33520.0,33279.0,32177.0,31830.0,32508.0,36510.0
4451.0,Grocery stores,28629.0,26762.0,29708.0,29086.0,30388.0,30229.0,30654.0,30434.0,29378.0,29068.0,29619.0,32454.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1555.0,1501.0,1725.0,1699.0,1807.0,1863.0,1886.0,1861.0,1845.0,1788.0,1879.0,2598.0
446.0,Health and personal care stores,7999.0,7739.0,8462.0,8230.0,8668.0,8482.0,8170.0,8471.0,8163.0,8387.0,8430.0,10434.0
44611.0,Pharmacies and drug stores,6829.0,6614.0,7135.0,6954.0,7274.0,7034.0,6793.0,7035.0,6859.0,7083.0,7208.0,9022.0
447.0,Gasoline stations,13871.0,13212.0,14757.0,14630.0,15945.0,16207.0,16057.0,16217.0,15194.0,15157.0,14681.0,15185.0
448.0,Clothing and clothing access. stores,7518.0,7961.0,9815.0,10168.0,10620.0,10301.0,9784.0,11264.0,10710.0,10439.0,12751.0,20002.0
4481.0,Clothing stores,5331.0,5472.0,6944.0,7079.0,7190.0,7087.0,6805.0,7727.0,7558.0,7425.0,8988.0,13102.0
44811.0,Men's clothing stores,661.0,607.0,674.0,726.0,721.0,740.0,642.0,697.0,722.0,756.0,903.0,1466.0
44812.0,Women's clothing stores,1723.0,1810.0,2393.0,2438.0,2535.0,2357.0,2172.0,2326.0,2370.0,2312.0,2567.0,3693.0
44814.0,Family clothing stores,2194.0,2266.0,2901.0,2959.0,2958.0,3061.0,3006.0,3488.0,3320.0,3290.0,4292.0,6264.0
44819.0,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482.0,Shoe stores,1179.0,1187.0,1655.0,1809.0,1757.0,1749.0,1654.0,2045.0,1735.0,1561.0,1771.0,2239.0
44831.0,Jewelry stores,908.0,1213.0,1128.0,1195.0,1590.0,1377.0,1250.0,1382.0,1315.0,1360.0,1854.0,4435.0
