NAICS  Code,Kind of Business,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993
441.0,Motor vehicle and parts dealers,32200.0,32787.0,39258.0,41055.0,41390.0,42995.0,42978.0,41706.0,40274.0,40287.0,38982.0,39004.0
4411.0,Automobile dealers,27823.0,28364.0,33803.0,35150.0,35095.0,36890.0,36647.0,35804.0,34668.0,34873.0,33932.0,34077.0
44111.0,New car dealers,25801.0,26165.0,31277.0,32586.0,32786.0,34497.0,34162.0,33517.0,32501.0,32534.0,31679.0,32017.0
44112,Used car dealers,2022.0,2199.0,2526.0,2564.0,2309.0,2393.0,2485.0,2287.0,2167.0,2339.0,2253.0,2060.0
4413.0,"Automotive parts, acc., and tire stores",3146.0,3174.0,3617.0,3801.0,3795.0,3955.0,4055.0,4063.0,3896.0,3933.0,3776.0,3599.0
442.0,Furniture and home furnishings stores,4104.0,3908.0,4369.0,4372.0,4535.0,4568.0,4682.0,4733.0,4621.0,4775.0,5158.0,5631.0
4421.0,Furniture stores,2553.0,2447.0,2713.0,2646.0,2766.0,2744.0,2807.0,2775.0,2751.0,2822.0,3027.0,3248.0
4422.0,Home furnishings stores,1551.0,1461.0,1656.0,1726.0,1769.0,1824.0,1875.0,1958.0,1870.0,1953.0,2131.0,2383.0
44221.0,Floor covering stores,828.0,805.0,916.0,967.0,933.0,976.0,974.0,1011.0,1013.0,1042.0,1005.0,990.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,4105.0,3735.0,4159.0,3974.0,4023.0,4334.0,4447.0,4406.0,4393.0,4460.0,5153.0,7943.0
443141.0,Household appliance stores,641.0,593.0,669.0,701.0,727.0,803.0,920.0,817.0,741.0,773.0,804.0,948.0
443142.0,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444.0,Building mat. and garden equip. and supplies dealers,8947.0,9208.0,11073.0,12374.0,13296.0,13209.0,12523.0,12470.0,12149.0,12220.0,11872.0,11623.0
4441.0,Building mat. and supplies dealers,7746.0,7932.0,9408.0,10146.0,10769.0,11083.0,10813.0,10905.0,10578.0,10711.0,10388.0,9947.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,879.0,805.0,983.0,1092.0,1285.0,1205.0,1181.0,1098.0,1073.0,1107.0,1094.0,1198.0
445.0,Food and beverage stores,30039.0,28126.0,30455.0,30820.0,31891.0,31352.0,33029.0,31215.0,30622.0,31223.0,30803.0,34941.0
4451.0,Grocery stores,27571.0,25748.0,27911.0,28112.0,29096.0,28576.0,30067.0,28470.0,28022.0,28532.0,28081.0,31132.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1614.0,1529.0,1678.0,1713.0,1796.0,1792.0,1950.0,1777.0,1707.0,1757.0,1782.0,2443.0
446.0,Health and personal care stores,7172.0,7138.0,7719.0,7721.0,7681.0,7642.0,7671.0,7540.0,7399.0,7549.0,7527.0,9835.0
